"Bounty Full Sheet Paper Towels, Double Rolls, White, 64 Sheets Per Roll, 6 Count ",$11.77,4
"Organic Honeycrisp Apples, 2 lb Pouch ",$6.68,2
"Great Value 2% Reduced Fat Milk, 128 Fl Oz ",$2.38,1
"Minute Maid Strawberry Lemonade Fruit Drink, 59 fl oz Carton ",$1.68,1
Stouffer's Bacon & White Cheddar Mac Bites Frozen Appetizer 12 oz ,$6.48,2
"Dole Fruit Bowls Yellow Cling Diced Peaches in 100% Fruit Juice, 4 oz, 12 Cups ",$7.44,3
"Happy Egg Organic Free Range Large Brown Eggs, 12 Count ",$5.32,1
"Post Cocoa PEBBLES Breakfast Cereal, Gluten Free, Cocoa Flavored Crispy Rice Cereal, Breakfast Snacks, 19.5 Oz ",$4.48,1
"Tyson Perfectly Crispy Frozen Chicken Strips, 1.56 lb Bag ",$8.98,1
"State Fair Classic Corn Dogs, 42.72 oz, 16 Count (Frozen) ",$9.98,1
"Delimex White Meat Chicken Corn Taquitos Frozen Snacks & Appetizers, 23 ct Box ",$5.98,1
"Good Humor Frozen Dairy Dessert Bar Strawberry Shortcake 3.0 oz, 6 Bars ",$5.44,1
Stouffer's Mac & Cheese Bites Frozen Appetizer 14 oz ,$6.48,1
"MorningStar Farms Original Meatless Corn Dogs, 10 oz (Frozen) ",$4.58,4
"Great Value 100% Whole Wheat Round Top Bread Loaf, 20 oz ",$1.88,1
"Fresh Cravings Honey Jalapeno Hummus, 17 oz ",$4.97,1
"Totino's Pizza Stuffers, Pepperoni Flavored, Frozen Snacks, 28.2 oz, 8 ct ",$7.18,1
"Marketside Shredded Iceberg Lettuce Salad, 8 oz ",$2.18,1
"Frigo Cheese Heads Mozzarella String Cheese, 12 Oz, 12 Count ",$4.68,1
"Simply Non GMO All Natural Raspberry Lemonade Juice, 89 fl oz Bottle ",$4.28,1
